Day,eggsLaid,eggInHive,Larva,Pupa,Worker,Drone,Death,Birth,HoneyStock,Flower 1 Nectar,Flower 2 Nectar,Flower 3 Nectar,
83,14,2477,183,214,351.0,97,1457,397,7434.5,13780,35050,7240,
84,16,2493,202,204,355.0,98,1480,406,7498.5,14880,34600,6790,
85,48,2541,214,214,352.0,95,1496,428,7543.75,14500,33600,7080,
86,28,2569,187,233,356.0,98,1518,420,7586.5,14080,34700,7170,
87,14,2583,168,241,352.0,98,1547,409,7654.25,14060,35300,6950,
88,14,2597,141,258,339.0,101,1583,399,7716.5,14260,34450,7120,
89,21,2618,168,255,341.0,102,1604,423,7742.5,14360,35450,7200,
90,39,2657,157,289,318.0,101,1631,446,7762.25,14800,36200,6780,
91,17,2674,139,297,323.0,103,1648,436,7840.75,14680,37350,7200,
92,41,2715,132,308,293.0,102,1689,440,7855.75,14640,34750,7590,
93,14,2729,139,287,308.0,105,1706,426,7890.75,14780,38550,7530,
94,37,2766,162,285,312.0,103,1722,447,7902.5,14640,37100,7480,
95,13,2779,131,313,293.0,101,1763,444,7935.0,14460,37750,7380,
96,21,2800,146,291,299.0,101,1805,437,7946.25,15080,37600,7560,
97,21,2821,146,272,297.0,102,1839,418,7973.75,14640,38500,7430,
98,36,2857,169,243,313.0,102,1866,412,7987.75,15360,37200,7380,
99,49,2906,161,243,323.0,102,1877,404,8018.75,14640,37450,7290,
100,45,2951,143,245,333.0,106,1900,388,8061.25,14820,36450,7170,
